published,caption,views,reach,saved,shares,comments,likes,total_interactions,permalink,media_id
2016-11-10T17:29:05+0000,Görsel efektlerini yaptığımız Cesur ve Güzel ilk bölümüyle şu an da Star TV ekra,,,,,,,,https://www.instagram.com/p/BMo1YtMDJWS/,17844185860151051
2016-11-09T17:17:05+0000,Görsel efektlerini yaptığımız Poyraz Karayel bu akşam yeni bölümüyle Kanal D ekr,,,,,,,,https://www.instagram.com/p/BMmPN4jj_8j/,17844159154192118
2016-11-02T19:01:16+0000,#DirilişErtuğrul #geniuspark #vfx #vfxstudio #GeniusParkVFX @trt1 @dirilisdizisi,,,,,,,,https://www.instagram.com/p/BMUZk2sDYr_/,17864607208016610
2016-11-02T18:33:50+0000,Görsel efektlerini yaptığımız #DirilişErtuğrul şu an da #Trt1 ekranlarında! #VFX,,,,,,,,https://www.instagram.com/p/BMUWb62Dy1F/,17865300271006207
2016-10-26T19:22:54+0000,DİRİLİŞ ERTUĞRUL #dirilişertuğrul #dirilişertuğrul #geniuspark #trt1 #BirMilleti,,,,,,,,https://www.instagram.com/p/BMCafGPjQ5Y/,17864408788009849
2016-10-26T19:21:09+0000,DİRİLİŞ ERTUĞRUL #dirilişertuğrul #dirilisertugrul #geniuspark #trt1 #BirMilleti,,,,,,,,https://www.instagram.com/p/BMCaSXYDtbw/,17864265175051434
2016-10-20T19:39:59+0000,@bodrummasali,,,,,,,,https://www.instagram.com/p/BLy_rELjO8e/,17855501356079219
2016-10-13T17:32:12+0000,,,,,,,,,https://www.instagram.com/p/BLgvfAPjCe1/,17843202349181547
2016-10-13T17:30:57+0000,,,,,,,,,https://www.instagram.com/p/BLgvV2vjX3w/,17862870754060883
2016-08-15T11:48:29+0000,Hayat Şarkısı,,,,,,,,https://www.instagram.com/p/BJINP6wDXOr/,17862038002057807
2016-08-09T09:40:17+0000,Karaoğlan kervan,,,,,,,,https://www.instagram.com/p/BI4hztOj-Wx/,17859875113008940
2016-08-09T09:38:02+0000,Bugünün Saraylısı,,,,,,,,https://www.instagram.com/p/BI4hjKHDC5b/,17861041258031979
2016-04-08T12:11:00+0000,KARAOĞLAN (2013),,,,,,,,https://www.instagram.com/p/BD8FR7NHBf0/,17849724685070675
2015-08-25T10:27:59+0000,"""Yasak"" Karaköy Liman",,,,,,,,https://www.instagram.com/p/6zZC0aHBUs/,17842008067070797
