published,caption,views,reach,saved,shares,comments,likes,total_interactions,permalink,media_id
2024-02-11T17:53:52+0000,@zaferinrengifilmi 16 Şubat’ta Sinemalarda !,1387,179,3,0,1,46,50,https://www.instagram.com/reel/C3N1tLnIcvr/,18051210565517798
2024-01-31T17:07:13+0000,Bir Sevdadır Bu Akşam @trt1 ‘de başlıyor.,,,,,,,,https://www.instagram.com/p/C2xb4zHoPe-/,18013965554318417
2024-01-16T18:32:46+0000,#BirSevdadır yakında @trt1 ’de.,1447,188,1,0,0,27,28,https://www.instagram.com/reel/C2K9mu0okxU/,18033931615694003
2024-01-06T21:00:58+0000,"‘’Seven bir kadının ne sabrını, ne de kudretini asla hafife alma’’",2265,172,2,0,1,55,58,https://www.instagram.com/reel/C1xenKcoY4M/,18090255604397874
2023-12-31T15:58:57+0000,Mutlu Yıllar 🎊 ,1705,154,3,1,0,45,49,https://www.instagram.com/reel/C1hfZHuI1o8/,18036626734633496
2023-12-20T19:37:16+0000,Derin Mor 22 Aralık da @tabii ‘de.,,,,,,,,https://www.instagram.com/p/C1Fjq9aI5Ck/,17980764659443529
2023-12-10T13:13:16+0000,Stüdyomuzun neşesi @arwenthepitbull ,1801,201,0,0,3,62,65,https://www.instagram.com/reel/C0q6rgmIOUW/,17977500533626727
2023-12-08T18:57:47+0000,A little fun for world VFX day..,1842,137,2,0,5,50,57,https://www.instagram.com/reel/C0mlPcEIVeP/,18317116381118409
2023-11-10T09:39:36+0000,"""Saygı ve Özlemle Anıyoruz""",,,,,,,,https://www.instagram.com/p/CzdfenCIdaL/,17989276934413247
2023-11-08T14:01:47+0000,Prestij Meselesi VFX Breakdown.,2713,110,2,1,4,55,62,https://www.instagram.com/reel/CzYz02_oTbD/,17913094523833325
2023-10-29T13:13:59+0000,Zaferin Rengi Şubat’ta Sinemalarda.,1449,78,4,0,0,45,49,https://www.instagram.com/reel/Cy--OmWoOcH/,18084394231386617
2023-10-28T20:07:41+0000,Cumhuriyetimizin 100. yılı kutlu olsun. 🇹🇷,2535,81,3,0,1,62,66,https://www.instagram.com/reel/Cy9Ir0-ozUb/,18070520737429906
2023-09-27T19:09:07+0000,Kuruluş Osman 5.Sezonuyla 4 Ekim Çarşamba 20.00’de #atv’de!,1263,108,3,0,0,28,31,https://www.instagram.com/reel/CxtNiRuIiLX/,18367318498068441
2023-09-08T14:09:16+0000,Dönem genellerini yaptığımız Bambai Meri Jaan 14 Eylül de yayında!,1668,123,1,0,2,52,55,https://www.instagram.com/reel/Cw7uwapIYSQ/,17988053195119088
2023-09-04T09:20:05+0000,Avrupa şampiyonu olan Kadın Milli Voleybol takımımızı tebrik ederiz! 🇹🇷,,,,,,,,https://www.instagram.com/p/Cww7-8bA6n6/,18008108233928666
2023-07-03T15:08:02+0000,Geniuspark'ta yeni hafta başladı! 👽,,,,,,,,https://www.instagram.com/p/CuPVuXoqd2d/,18009833050738602
2023-06-15T14:48:26+0000,Kuruluş Osman’ın 4. sezonunu tamamladık. Emeği geçen herkese teşekkür ederiz. ,1402,223,0,0,2,56,58,https://www.instagram.com/reel/Ctg81N_oNCE/,18002356471865800
2023-06-04T12:23:35+0000,2. Sinematek Günleri Sektör Buluşmaları. Postta Hallederiz panelinden bazı karel,,,,,,,,https://www.instagram.com/p/CtEX2f-ItCh/,17998413448897205
2023-06-02T10:48:11+0000,Sinematek Günleri,,,,,,,,https://www.instagram.com/tv/Cs_DUKUIP9l/,17974876787141891
2023-06-02T06:55:06+0000,Network alanındayız 😎 Bekleriz ! ,,,,,,,,https://www.instagram.com/p/Cs-oqy0oOpN/,17965558205315430
2023-05-18T17:51:56+0000,"19 Mayıs Atatürk'ü Anma, Gençlik ve Spor Bayramımız kutlu olsun.",,,,,,,,https://www.instagram.com/p/CsZL6hIInew/,17997375922888022
2023-05-10T17:48:49+0000,Buna Bir Bakıcaz +1,,,,,,,,https://www.instagram.com/p/CsElMr3oF6K/,18059406334399365
2023-05-05T08:36:27+0000,İbn-i Sina Yakında @tabii ‘ de.,1285,154,3,0,0,45,48,https://www.instagram.com/reel/Cr2th2mo28O/,18020536924554436
2023-04-28T18:47:48+0000,#karanlıkgece sinemalarda ! ,1232,161,0,0,2,44,46,https://www.instagram.com/reel/CrlyTV1IsyO/,17954850674576253
2023-04-27T09:11:50+0000,@fmxconference Day 2 🫶🏻,1565,157,1,0,1,80,82,https://www.instagram.com/reel/CriLlZQIbFu/,17985898493012891
2023-04-26T18:47:34+0000,@fmxconference ‘da “Framestore” ekibi ile yapılan karşılıklı soru-cevap formunda,,,,,,,,https://www.instagram.com/p/CrgoyxhoX5K/,17915524817646942
2023-04-26T14:53:50+0000,@fmxconference 😎,1174,97,2,0,0,48,50,https://www.instagram.com/reel/CrgN1QuIk4L/,17994420106859547
2023-04-26T11:22:12+0000,Bu Sene Stuttgart’ da düzenlenen @fmxconference 2023 1.Günün kısa özeti. VFX’in ,,,,,,,,https://www.instagram.com/p/Crf10w9oSDV/,17978258465157002
2023-04-23T10:37:23+0000,23 Nisan Ulusal Egemenlik ve Çocuk Bayramımız Kutlu Olsun!,,,,,,,,https://www.instagram.com/p/CrYCT7now6E/,17910549131663489
2023-04-20T20:45:01+0000,Sevdiklerinizle Mutlu Bayramlar. 🍬,,,,,,,,https://www.instagram.com/p/CrRZduVIbdD/,18202562911220816
2023-03-20T13:12:19+0000,9. Uluslararası Çağdaş Sanat Fuar'ında biz de @geniusparkvfx olarak oradaydık. ,,,,,,,,https://www.instagram.com/p/CqAxA9CI25F/,18002217004648933
2023-03-08T09:18:58+0000,"Dünyamızı varlıklarıyla güzelleştiren, emekleriyle zenginleştiren kadınlarımızın",,,,,,,,https://www.instagram.com/p/CphcxRJItQk/,17991531979714854
2023-02-01T12:17:05+0000,2015 Yapışık Kardeşler “ sperm yarışı “  @geniusparkvfx,1771,600,4,55,2,53,114,https://www.instagram.com/reel/CoHpM1mIavd/,18045927238394679
2023-01-19T16:12:14+0000,#alsancak saat 20:00 de @trt1 ‘de.,,,,,,,,https://www.instagram.com/p/Cnml6LRIMCi/,18329327911065840
2023-01-16T14:41:21+0000,Prestij Meselesi son izlemeleri yapıldı.,,,,,,,,https://www.instagram.com/p/CnetH6_MLy1/,17963010083276802
2023-01-15T17:43:32+0000,Al Sancak 19 Ocak 2023 @trt1 ‘de.,1752,179,2,0,1,46,49,https://www.instagram.com/reel/CncdDHCIPVR/,18325978336066626
2022-12-31T11:56:41+0000,Mutlu Yıllar ! 🎉🎁 😍,1411,100,0,0,1,51,52,https://www.instagram.com/reel/Cm1NTKSoxpD/,17979116365896648
2022-12-29T20:21:43+0000,GeniusPark ailesi.,,,,,,,,https://www.instagram.com/p/Cmw9xA-rh9-/,18145992988303342
2022-12-29T18:41:16+0000,"@geniusparkvfx ailesi olarak 2022 yılına veda edip, 2023 yılına Merhaba diyoruz ",,,,,,,,https://www.instagram.com/p/CmwyRYFoIoT/,17968556638937881
2022-12-23T19:40:35+0000,Prestij Meselesi 3 Şubat’ta Sinemalarda.,2497,166,5,0,1,57,63,https://www.instagram.com/reel/Cmhb5PEIBtA/,18191376043241293
2022-12-16T16:52:08+0000,@sicakkafa | VFX Breakdown,2036,108,8,0,0,90,98,https://www.instagram.com/reel/CmPHGdaIqhv/,18044162131381031
2022-12-04T20:34:01+0000,#alsancak Yakında @trt1 de.,992,78,2,0,1,36,39,https://www.instagram.com/reel/ClwnGJcrox3/,17952417695508185
2022-12-01T20:05:00+0000,,1246,69,0,0,0,38,38,https://www.instagram.com/reel/Clo1jtID2Fa/,17881170845712915
2022-11-25T23:37:35+0000,#sıcakkafa nerede ? ,1113,61,4,0,0,56,60,https://www.instagram.com/reel/ClZxD3doLon/,17959562918021135
2022-11-10T12:54:29+0000,Saygı ve özlemle.,,,,,,,,https://www.instagram.com/p/Ckx_ohtICBo/,18172997779247164
2022-11-05T10:07:29+0000,🔥2.12.22 💀,1245,53,3,0,5,78,86,https://www.instagram.com/reel/Ckk0Z7EIaUB/,17960668949095174
2022-10-28T21:00:17+0000,29 Ekim Cumhuriyet Bayramımızın 99. Yılı Kutlu Olsun.,,,,,,,,https://www.instagram.com/p/CkRY5QErwO7/,17961792038043053
2022-10-28T18:21:41+0000,“ Prestij Meselesi “ 3 Şubat 2023’te sinemalarda. ,1305,46,1,0,0,44,45,https://www.instagram.com/reel/CkRGbi6o9t1/,18323125714031690
2022-10-20T10:28:17+0000,Görsel efektlerine katkıda bulunduğumuz Sıcak Kafa 🔥 02.12.22 🔥 Netflix’de.,,,,,,,,https://www.instagram.com/p/Cj7qNW6I8rQ/,17880205310754402
2022-10-05T10:52:53+0000,#KuruluşOsman 4. Sezon yeni bölümüyle bu akşam Atv’de ,1674,62,3,0,4,85,92,https://www.instagram.com/reel/CjVE3jfoOgL/,17871768818731484
2022-09-02T18:12:02+0000,@geniusparkvfx olarak görsel efektlerini üstlendiğimiz “ Âşıklar Bayramı “ @netf,3008,63,4,0,2,67,73,https://www.instagram.com/reel/CiA4_veoL_Q/,17966334193865627
2022-08-29T10:51:16+0000,Dayı: Bir Adamın Hikayesi | VFX BREAKDOWN ,2363,154,8,3,5,83,99,https://www.instagram.com/reel/Ch1zNr5IGWe/,17987995675514448
2022-08-08T18:10:34+0000,Bir baba.Bir oğul. Yarım kalmış bir hikaye. ,2034,111,4,0,0,36,40,https://www.instagram.com/reel/ChAg1f1IYEm/,18049100431342452
2022-06-29T20:29:04+0000,2022 Midye Partimiz 😎🥳,,,,,,,,https://www.instagram.com/p/CfZxIvHD2Q9/,17964608230735191
2022-06-09T19:40:47+0000,Çiçero | VFX BREAKDOWN ,,,,,,,,https://www.instagram.com/tv/CemLg7zlSYX/,17927104865468418
2022-04-23T10:13:27+0000,23 Nisan Ulusal Egemenlik ve Çocuk Bayramımız Kutlu Olsun! ,,,,,,,,https://www.instagram.com/p/CcsJbNdIVyU/,17953847947782259
2022-04-02T16:10:00+0000,"""Göz görür ama akıl almaz, vâkıf olmayana saklıdır."" ",,,,,,,,https://www.instagram.com/tv/Cb2tbWFAWoJ/,18204435490149177
2022-03-11T09:31:50+0000,"""Geçmişten gelen büyük bir gizem, etrafına topladığı hayatları şekillendir",,,,,,,,https://www.instagram.com/tv/Ca9WTdQgnIH/,17991038560451244
2022-03-08T08:02:35+0000,8 Mart Dünya Kadınlar Günü kutlu olsun. ,,,,,,,,https://www.instagram.com/p/Ca1d4gmDJYc/,17894300507592693
2021-12-31T15:31:56+0000,,,,,,,,,https://www.instagram.com/p/CYJwC-po04T/,17894672951422467
2021-12-30T12:34:30+0000,@geniusparkvfx ailesi olarak 2022 yılını erken yılbaşı partimiz ile kutladık.😎🎁🎉,,,,,,,,https://www.instagram.com/p/CYG28mYIcay/,18273140050039644
2021-10-29T08:17:37+0000,29 Ekim Cumhuriyet Bayramımız kutlu olsun.,,,,,,,,https://www.instagram.com/p/CVmwQ15gceF/,17889806297376468
2021-10-17T11:44:33+0000,"""DAYI"" ",0,72,1,0,0,28,29,https://www.instagram.com/p/CVIOJcSg-Y7/,17937795724641842
2021-07-15T17:12:30+0000,@geniusparkvfx olarak Görsel Efektlerini üstlendiğimiz 15 / 07 ŞAFAK VAKTİ vizyo,,,,,,,,https://www.instagram.com/p/CRWxNvMgWB1/,18238081414024530
2021-07-03T09:04:04+0000,#MendirmanJaloliddin ( #BozkirArslaniCelaleddin ) dizisi için yaptığımız CGI A,,,,,,,,https://www.instagram.com/p/CQ2_xwKAkmg/,17938172920541283
2021-05-18T18:00:10+0000,"19 Mayıs Atatürk'ü Anma, Gençlik ve Spor Bayramımız kutlu olsun.",,,,,,,,https://www.instagram.com/p/CPBgkCMAH8q/,17903536471901202
2021-05-02T17:59:23+0000,"#BozdagFilm ‘in Yapımını üstlendiği, Görsel Efekt ve Post Prodüksiyonunu #Ge",0,47,6,0,5,93,104,https://www.instagram.com/p/COYTpLigOEk/,17867857685397684
2021-04-22T20:31:33+0000,"Geleceği ve mesleğimizi, geleceğin emanetçilerine, en iyi şekilde teslim et",,,,,,,,https://www.instagram.com/p/CN-1OFbgN8I/,17878112060214710
2021-03-13T18:24:31+0000,“Katliamdan kurtulmak için ana vatandan başka güvencemiz yoktur...” ,0,32,2,0,3,44,49,https://www.instagram.com/p/CMXmBKRg52H/,18161129866116948
2021-03-09T19:25:30+0000,"TMC Film’in yapımını üstlendiği, Görsel Efektlerini Geniuspark’ın yaptığı Kı",0,36,3,0,3,41,47,https://www.instagram.com/p/CMNaZSUARx8/,18153610561127587
2021-02-19T16:49:08+0000,"#SıfırBirYapım ‘ın Yapımını üstlendiği,  Görsel Efektlerini #GeniusPark’ın ya",0,340,4,0,2,39,45,https://www.instagram.com/p/CLeyWvCAseR/,17897236270789209
2020-12-27T15:12:20+0000,"“Hayallerinin peşinden koş, kendine inan, içindeki gücü hisset..”",0,62,14,0,2,77,93,https://www.instagram.com/p/CJTjWdWAhW-/,17878671086030653
2020-04-08T12:03:27+0000,Peşinde oldukları şey sadece katil değil...,0,47,3,0,1,59,63,https://www.instagram.com/p/B-uBsr8Aztc/,17915576671408551
2020-03-03T14:38:24+0000,Görsel efekt ve post çalışmalarını yaptığımız #sokagincocuklari beşinci bölüm te,0,35,0,0,0,37,37,https://www.instagram.com/p/B9RmyD2AJmG/,18024054697259873
2020-02-26T11:25:50+0000,Her sır önce sahibini yakar.. #alef #blutv #mayproduction #kenanimirzalioglu #me,0,27,5,0,1,39,45,https://www.instagram.com/p/B9ByuXhgeuR/,17866942993646452
2020-02-11T10:06:25+0000,Geniuspark,0,26,5,0,1,68,74,https://www.instagram.com/p/B8bARWGj6cj/,18099359884125473
2020-01-17T15:15:06+0000,Görsel efekt ve post işlemlerini yaptığımız #türklergeliyor filmi sinemalarda! #,0,24,2,0,0,38,40,https://www.instagram.com/p/B7bOJh6g0SH/,18125726275026131
2019-12-30T16:38:19+0000,Görsel efekt çalışmalarını yaptığımız #TürklerGeliyor 'Adaletin Kılıcı' 17 Ocak',,,,,,,,https://www.instagram.com/tv/B6tBCAWg-tu/,17870286433530806
2019-11-23T10:09:14+0000,Görsel efekt çalışmalarını  üstlendiğimiz Kuruluş Osman'ın ikinci bölüm tanıtımı,0,75,5,0,2,66,74,https://www.instagram.com/p/B5NDbDsAXdD/,17844066997811325
2019-08-23T10:00:55+0000,"Görsel efekt çalışmalarını üstlendiğimiz, Cep Herkülü Naim Sinema Fiminin ikinci",0,62,12,0,8,110,130,https://www.instagram.com/p/B1gI05-AVv4/,17865981928462274
2019-05-30T09:44:04+0000,19 Mayıs Vestel Reklam Filmi için yaptığımız çalışmaların #vfxbreakdown ‘ı #geni,0,47,9,0,6,134,149,https://www.instagram.com/p/ByFPfvKA7cq/,18037080820158088
2019-04-23T08:15:49+0000,23 Nisan Ulusal Egemenlik ve Çocuk Bayramı Kutlu Olsun... #23nisan #çocukbayramı,,,,,,,,https://www.instagram.com/p/Bwl0umtAU3g/,18052965025070512
2019-04-13T11:20:02+0000,Yapımcılığını Müge Özen’in ve Yönetmenliğini Orhun Behram’ın yaptığı Cenaze isim,,,,,,,,https://www.instagram.com/p/BwMZ3L-ADng/,17960298094258097
2019-04-12T10:04:31+0000,‪38. İstanbul Film Festivali kapsamında Köprüde Buluşmalar Film Geliştirme Atöly,,,,,,,,https://www.instagram.com/p/BwJsbK9A_eT/,17992127515201420
2019-04-01T07:51:00+0000,#DervişZaim’in yeni romanı ‘Rüyet’ 4 Nisan’da raflarda. #YapıKrediYayınları,0,26,2,0,1,38,41,https://www.instagram.com/p/BvtILKtgpu7/,18053316286050211
2019-03-25T11:44:07+0000,#TekYürek dizisi için çalıştığımız kaza sahnesi #vfxbreakdown ‘ı... #TRT1 ,0,34,8,0,2,149,159,https://www.instagram.com/p/Bvbg_ucAEiu/,18048379114032136
2019-03-18T08:22:51+0000,Genius at work! @geniusparkvfx @zdoro  #makingofmonday #makingof #nukex #vfx #vf,0,60,8,0,1,128,137,https://www.instagram.com/p/BvJIPLQgL6T/,17888965906305465
2019-03-08T11:55:44+0000,"GeniusPark ailesi olarak, 8 Mart Dünya Kadınlar Günü’nü kutluyoruz. #geniusatwor",,,,,,,,https://www.instagram.com/p/BuvxVH8gM7y/,18013244998131241
2019-02-18T15:51:08+0000,#Börü filminden Polis Özel Harekat’ın bombalandığı sahneye ait bir kesit vol.1 #,0,71,5,0,2,104,111,https://www.instagram.com/p/BuB1MOcgUCB/,18010683550095975
2019-01-07T11:46:12+0000,Genius at work! #genius #geniuspark #vfxstudio #cgi #anime #animation #vfx #neo,,,,,,,,https://www.instagram.com/p/BsVQi1hBFAn/,17993309008189295
2019-01-05T15:30:45+0000,"Görsel Efektlerini yaptığımız, Polis Özel Harekat taaruz timi #BÖRÜ nün öyküsü s",,,,,,,,https://www.instagram.com/p/BsQgpwmhS6q/,17856081526312414
2019-01-05T15:21:21+0000,Görsel Efektlerini ve Post Production işlemlerini yaptığımız Tek Yürek dizisi ya,0,36,2,0,1,90,93,https://www.instagram.com/p/BsQd26WhnGA/,18010827352076784
2018-04-18T20:55:53+0000,#sadettinköpek #diriliş  #dirilişertuğrul #yenidendiriliş #trt1 #görselefekt #vf,0,75,5,1,8,90,104,https://www.instagram.com/p/BhudLOnFX5h/,17908850365162286
2018-03-14T19:25:18+0000,#F16 sahnesi ile katkıda bulunduğumuz #börüdizi  @startv ekranlarında. #ÇirkinOl,0,61,13,0,5,147,165,https://www.instagram.com/p/BgULQZxg5WA/,17852616706243989
2018-02-08T18:47:33+0000,Bağdat Şehri @trt1 @mehmetcikdizisi @geniusparkvfx #görselefekt #kahramanmehmetç,,,,,,,,https://www.instagram.com/p/Be8kDgyn5lr/,17905409668092829
2018-01-25T19:20:10+0000,Görsel efektleri ve tüm post prodüksiyonu bünyemizde yapılmakta olan @mehmetcikd,0,40,3,0,2,77,82,https://www.instagram.com/p/BeYknlKhLL1/,17860575601223733
2018-01-18T21:04:53+0000,Görsel efektleri ve tüm post prodüksiyonu bünyemizde yapılmakta olan  @mehmetcik,,,,,,,,https://www.instagram.com/p/BeGvE-EHTrw/,17906502412102833
2018-01-12T19:52:41+0000,10 Ağustos'ta seyirci ile buluşacak olan KABİR AZABI filmi için yaptığımız tease,0,42,1,0,2,73,76,https://www.instagram.com/p/Bd3Jrq5n-7k/,17844577534235882
2017-12-27T19:50:25+0000,Yeni projemiz #mehmetçik 18 Ocak Perşembe günü @trt1 ekranlarında başlıyor.,0,38,1,0,0,61,62,https://www.instagram.com/p/BdN8_OinIZ6/,17914180489005487
