checked_at,title,published,views,likes,comments,channel_subs
2026-09-20T06:40:02+00:00,İstanbul'un ortasında tarla var!,2026-09-17T06:06:45Z,1531,3,2,7
2026-09-20T06:40:02+00:00,Bu bina kilise değil.,2026-09-15T09:34:22Z,1207,12,1,7
2026-09-20T06:40:02+00:00,"Aynı sokakta cami, kilise ve sinagog",2026-09-13T10:56:41Z,687,10,4,7
2026-09-20T06:40:02+00:00,Mahallenin kedileri,2026-09-12T08:14:23Z,140,5,1,7
2026-09-20T06:40:02+00:00,Sabah Boğaz’da bisiklet sürmek..,2026-09-09T08:30:05Z,1102,11,1,7
